description,courseNumber,departmentCode,courseTitle,avg_gpa,A_rate,B_rate,C_rate,D_rate,F_rate,W_rate,total_enrollment
"Managerial overview of advertising and sales promotion as they relate to economic and social systems. Topics include promotional planning, research, media selection, creative implementation, retail, business/professional and consumer advertising.",331,MKTG,"Advertising and Promotion",3.56,62.00,32.00,6.00,1.00,1.00,2.00,615
"Examination of the buyer (individual consumer and organizational agent) as problem solver. Topics include buying decision processes and social, psychological, anthropological and economic factors that influence behavior in the marketplace. Examines principles, theories, models and research techniques related to purchasing behavior.",332,MKTG,"Consumer Behavior",3.16,35.00,49.00,15.00,1.00,1.00,1.00,669
"Study of the decision-making process in marketing products and services across national boundaries. Examination of the design and modification of marketing strategies. Identification of potential markets with consideration of product, price, promotion and distribution decisions within the restraints of a particular cultural, economic and political setting.",423,MKTG,"International Marketing",3.12,26.00,62.00,11.00,1.00,1.00,1.00,802
"Comprehensive managerial analysis of the marketing function. Emphasis on strategic planning and implementation and control of marketing mix activity. Students apply overall knowledge to analyze and propose solutions to marketing problems/opportunities.",430,MKTG,"Marketing Management Strategy",3.27,39.00,50.00,11.00,1.00,1.00,1.00,755
"Principles of music construction based on a historical perspective of music theory in Western culture. Emphasis on the nature of modes and/or tonal centers and the organization of melody, harmony and voice leading utilizing basic elements of keys, scales, chords, notation and ear training.",201,MUSC,"Introduction to Music Theory",2.82,42.00,22.00,11.00,6.00,12.00,10.00,312
"Develops the ability of the musician to visually and aurally perceive fundamentally organized musical events for the purpose of accurately performing and notating them. Focuses on the prominent musical constructs, including all aspects of simple melody, simple harmony and progression and basic rhythm.",311,MUSC,"Music Perception I",3.30,55.00,20.00,10.00,0.00,6.00,11.00,122
"Theory related to nursing care of adults with common health problems who need to maintain or regain optimal levels of functioning. Emphasizes problem solving through use of a variety of resources; examines trends and issues relevant to health care in rural communities. Intended for students admitted to undergraduate nursing program.",310,NURS,"Nursing Care of Adults I",2.49,5.00,47.00,43.00,5.00,1.00,2.00,1981
"Introduces students to professional nursing practice including history, legal, ethical, economic, cultural issues and nursing process. Discussion of roles and responsibilities in communication, documentation and use of clinical technologies with the application through Web, campus-based and selected field experiences.",312,NURS,"Introduction to Professional Nursing Practice",3.31,37.00,57.00,6.00,1.00,0.00,2.00,2368
"Functional health assessment of individuals from adolescence through older adulthood. Students practice health assessment skills in clinical settings with people of varied ages, social, cultural and economic backgrounds. Intended for students admitted to undergraduate nursing program.",319,NURS,"Health Assessment",2.86,17.00,55.00,25.00,3.00,1.00,2.00,1868
"Study of theory related to the prevention and nursing care of individuals and families with psychosocial problems. Focuses on communication with clients in community and hospital settings with emphasis on mental illness in rural areas. Considers mental health needs of all age groups with special regard for cultural differences.",380,NURS,"Psychiatric Mental Health",3.18,25.00,70.00,7.00,0.00,0.00,1.00,2818
"Introduction to the principles of first aid in wilderness settings, including patient or sub-assessment and care for open wounds, infection, fractures, dislocations and other life threatening conditions. Study of strategies for providing care in inclement weather and with alternative standard equipment. Special focus is placed upon evacuation techniques as well as best practices for monitoring and documenting patient status. Certification available. Weekend off-campus field experience required.",201,PHEC,"Wilderness First Aid",3.91,93.00,4.00,0.00,0.00,2.00,3.00,342
"Fundamental skills, techniques, knowledge and laws of scuba diving. Emphasis on safety and recreational diving.",210,PHEC,"Scuba Diving",3.93,94.00,1.00,0.00,0.00,2.00,5.00,530
"Invites students to philosophize, asking and creatively responding to basic questions about human existence which are usually left unasked, e.g., are we free, what is the self, what value should we live for?",101,PHIL,"Introduction to Philosophy",2.87,30.00,42.00,16.00,4.00,7.00,4.00,2163
"Introduction to Newtonian mechanics and applications. Topics include kinematics, dynamics, rotational motion, equilibrium, conservation laws and fluids. Not intended for physics or chemistry majors.",121,PHYS,"General Physics I",2.46,22.00,26.00,21.00,9.00,10.00,14.00,3193
"Continuation of introductory calculus-based physics. Topics include: static equilibrium and elasticity, fluid mechanics, wave motion and thermodynamics.",225,PHYS,"Physics III",2.28,12.00,31.00,30.00,14.00,7.00,7.00,187
"Comprehensive examination of the American political process which analyzes the role of the Constitution, the organization and function of the presidency, Congress, Supreme Court, political parties and interest groups and the distribution of power within American society.",110,POSC,"American National Government",2.39,17.00,29.00,31.00,8.00,10.00,10.00,266
"Methods of data analysis, including statistical concepts, calculations and computer applications.",220,PSYC,"Psychological Statistics",2.63,25.00,32.00,24.00,8.00,8.00,6.00,1512
"Survey of the characteristics of and theories explaining the physical, intellectual, social and emotional development of individuals throughout the life span.",300,PSYC,"Developmental Psychology",3.18,44.00,35.00,16.00,3.00,2.00,2.00,1402
